ano,cuenca,area_ha
2019,Nanay,82.39
2019,Napo,2076.26
2019,TOTAL,2158.65
2021,Nanay,22.82
2021,Napo,4387.24
2021,TOTAL,4410.06
2023,Nanay,98.79
2023,Napo,4621.25
2023,TOTAL,4720.04
2024,Nanay,237.24
2024,Napo,5761.0
2024,TOTAL,5998.24
2025,Nanay,117.17
2025,Napo,3531.31
2025,TOTAL,3648.48
